FinancialID,ProjectID,Month,Date,Year,Quarter,CostCategory,PlannedRevenue,ActualRevenue,PlannedCost,ActualCost,GrossProfit,GrossMarginPct
FIN0000001,PRJ001,2022-02,2022-02-24,2022,Q1 2022,Labor,32386.24,34895.61,26988.53,29480.86,5414.75,15.52
FIN0000002,PRJ001,2022-02,2022-02-24,2022,Q1 2022,Materials,37012.84,42013.55,30844.03,34603.9,7409.65,17.64
FIN0000003,PRJ001,2022-02,2022-02-24,2022,Q1 2022,Equipment,17349.77,19692.79,14458.14,15943.79,3749.0,19.04
FIN0000004,PRJ001,2022-02,2022-02-24,2022,Q1 2022,Subcontractor,11566.51,12910.1,9638.76,11372.85,1537.25,11.91
FIN0000005,PRJ001,2022-02,2022-02-24,2022,Q1 2022,Design & Engineering,5783.26,5559.08,4819.38,4947.99,611.09,10.99
FIN0000006,PRJ001,2022-02,2022-02-24,2022,Q1 2022,Permits & Legal,3469.96,4047.3,2891.63,3376.7,670.6,16.57
FIN0000007,PRJ001,2022-02,2022-02-24,2022,Q1 2022,Transportation,4626.6,5211.92,3855.5,4528.2,683.72,13.12
FIN0000008,PRJ001,2022-02,2022-02-24,2022,Q1 2022,Overhead,3469.96,3535.3,2891.63,2861.8,673.5,19.05
FIN0000009,PRJ001,2022-03,2022-03-26,2022,Q1 2022,Labor,56951.05,58186.44,47459.21,49429.45,8756.99,15.05
FIN0000010,PRJ001,2022-03,2022-03-26,2022,Q1 2022,Materials,65086.92,68360.47,54239.1,54580.24,13780.23,20.16
FIN0000011,PRJ001,2022-03,2022-03-26,2022,Q1 2022,Equipment,30509.5,31498.19,25424.58,26492.05,5006.14,15.89
FIN0000012,PRJ001,2022-03,2022-03-26,2022,Q1 2022,Subcontractor,20339.66,21026.98,16949.72,16899.78,4127.2,19.63
FIN0000013,PRJ001,2022-03,2022-03-26,2022,Q1 2022,Design & Engineering,10169.83,10084.22,8474.86,8520.6,1563.62,15.51
FIN0000014,PRJ001,2022-03,2022-03-26,2022,Q1 2022,Permits & Legal,6101.9,6979.71,5084.92,5702.19,1277.52,18.3
FIN0000015,PRJ001,2022-03,2022-03-26,2022,Q1 2022,Transportation,8135.87,9438.85,6779.89,8008.0,1430.85,15.16
FIN0000016,PRJ001,2022-03,2022-03-26,2022,Q1 2022,Overhead,6101.9,6600.18,5084.92,5781.35,818.83,12.41
FIN0000017,PRJ001,2022-04,2022-04-25,2022,Q2 2022,Labor,43385.66,42860.64,36154.72,36062.54,6798.1,15.86
FIN0000018,PRJ001,2022-04,2022-04-25,2022,Q2 2022,Materials,49583.62,55121.7,41319.68,43984.3,11137.4,20.21
FIN0000019,PRJ001,2022-04,2022-04-25,2022,Q2 2022,Equipment,23242.32,22313.29,19368.6,19040.69,3272.6,14.67
FIN0000020,PRJ001,2022-04,2022-04-25,2022,Q2 2022,Subcontractor,15494.88,17347.43,12912.4,13843.86,3503.57,20.2
FIN0000021,PRJ001,2022-04,2022-04-25,2022,Q2 2022,Design & Engineering,7747.44,8503.1,6456.2,7498.92,1004.18,11.81
FIN0000022,PRJ001,2022-04,2022-04-25,2022,Q2 2022,Permits & Legal,4648.46,5211.62,3873.72,4356.72,854.9,16.4
FIN0000023,PRJ001,2022-04,2022-04-25,2022,Q2 2022,Transportation,6197.95,7180.72,5164.96,6136.24,1044.48,14.55
FIN0000024,PRJ001,2022-04,2022-04-25,2022,Q2 2022,Overhead,4648.46,4718.32,3873.72,4115.15,603.17,12.78
FIN0000025,PRJ001,2022-05,2022-05-25,2022,Q2 2022,Labor,35355.54,40450.45,29462.95,34174.03,6276.42,15.52
FIN0000026,PRJ001,2022-05,2022-05-25,2022,Q2 2022,Materials,40406.33,45614.63,33671.94,37703.07,7911.56,17.34
FIN0000027,PRJ001,2022-05,2022-05-25,2022,Q2 2022,Equipment,18940.46,19594.68,15783.72,17448.67,2146.01,10.95
FIN0000028,PRJ001,2022-05,2022-05-25,2022,Q2 2022,Subcontractor,12626.98,13924.5,10522.48,12065.25,1859.25,13.35
FIN0000029,PRJ001,2022-05,2022-05-25,2022,Q2 2022,Design & Engineering,6313.49,6329.16,5261.24,5278.52,1050.64,16.6
FIN0000030,PRJ001,2022-05,2022-05-25,2022,Q2 2022,Permits & Legal,3788.09,3838.28,3156.74,3127.87,710.41,18.51
FIN0000031,PRJ001,2022-05,2022-05-25,2022,Q2 2022,Transportation,5050.79,4942.52,4208.99,4296.97,645.55,13.06
FIN0000032,PRJ001,2022-05,2022-05-25,2022,Q2 2022,Overhead,3788.09,4286.59,3156.74,3676.33,610.26,14.24
FIN0000033,PRJ001,2022-06,2022-06-24,2022,Q2 2022,Labor,36052.16,39426.15,30043.47,35189.45,4236.7,10.75
FIN0000034,PRJ001,2022-06,2022-06-24,2022,Q2 2022,Materials,41202.48,45499.44,34335.4,39902.82,5596.62,12.3
FIN0000035,PRJ001,2022-06,2022-06-24,2022,Q2 2022,Equipment,19313.66,18668.35,16094.72,16161.79,2506.56,13.43
FIN0000036,PRJ001,2022-06,2022-06-24,2022,Q2 2022,Subcontractor,12875.77,13190.21,10729.81,10878.09,2312.12,17.53
FIN0000037,PRJ001,2022-06,2022-06-24,2022,Q2 2022,Design & Engineering,6437.89,5908.89,5364.91,5266.01,642.88,10.88
FIN0000038,PRJ001,2022-06,2022-06-24,2022,Q2 2022,Permits & Legal,3862.73,4259.31,3218.94,3693.12,566.19,13.29
FIN0000039,PRJ001,2022-06,2022-06-24,2022,Q2 2022,Transportation,5150.3,5138.54,4291.92,4490.18,648.36,12.62
FIN0000040,PRJ001,2022-06,2022-06-24,2022,Q2 2022,Overhead,3862.73,3889.59,3218.94,3178.18,711.41,18.29
FIN0000041,PRJ001,2022-07,2022-07-24,2022,Q3 2022,Labor,46436.17,52243.61,38696.81,44025.23,8218.38,15.73
FIN0000042,PRJ001,2022-07,2022-07-24,2022,Q3 2022,Materials,53069.92,60337.41,44224.93,50624.86,9712.55,16.1
FIN0000043,PRJ001,2022-07,2022-07-24,2022,Q3 2022,Equipment,24876.52,24671.13,20730.43,20722.68,3948.45,16.0
FIN0000044,PRJ001,2022-07,2022-07-24,2022,Q3 2022,Subcontractor,16584.35,18379.77,13820.29,16322.03,2057.74,11.2
FIN0000045,PRJ001,2022-07,2022-07-24,2022,Q3 2022,Design & Engineering,8292.17,9829.15,6910.14,7917.94,1911.21,19.44
FIN0000046,PRJ001,2022-07,2022-07-24,2022,Q3 2022,Permits & Legal,4975.31,5346.78,4146.09,4515.38,831.4,15.55
FIN0000047,PRJ001,2022-07,2022-07-24,2022,Q3 2022,Transportation,6633.74,7393.05,5528.12,6551.13,841.92,11.39
FIN0000048,PRJ001,2022-07,2022-07-24,2022,Q3 2022,Overhead,4975.31,5266.19,4146.09,4477.19,789.0,14.98
FIN0000049,PRJ001,2022-08,2022-08-23,2022,Q3 2022,Labor,50825.68,57179.83,42354.73,45840.75,11339.08,19.83
FIN0000050,PRJ001,2022-08,2022-08-23,2022,Q3 2022,Materials,58086.49,54318.72,48405.41,48013.97,6304.75,11.61
FIN0000051,PRJ001,2022-08,2022-08-23,2022,Q3 2022,Equipment,27228.04,28386.13,22690.03,25138.37,3247.76,11.44
FIN0000052,PRJ001,2022-08,2022-08-23,2022,Q3 2022,Subcontractor,18152.03,18933.82,15126.69,15665.51,3268.31,17.26
FIN0000053,PRJ001,2022-08,2022-08-23,2022,Q3 2022,Design & Engineering,9076.01,9651.87,7563.34,8281.13,1370.74,14.2
FIN0000054,PRJ001,2022-08,2022-08-23,2022,Q3 2022,Permits & Legal,5445.61,6458.55,4538.01,5407.91,1050.64,16.27
FIN0000055,PRJ001,2022-08,2022-08-23,2022,Q3 2022,Transportation,7260.82,7831.79,6050.68,6500.71,1331.08,17.0
FIN0000056,PRJ001,2022-08,2022-08-23,2022,Q3 2022,Overhead,5445.61,5514.51,4538.01,4526.59,987.92,17.91
FIN0000057,PRJ001,2022-09,2022-09-22,2022,Q3 2022,Labor,55398.52,63314.55,46165.43,51573.58,11740.97,18.54
FIN0000058,PRJ001,2022-09,2022-09-22,2022,Q3 2022,Materials,63312.59,68708.73,52760.49,59741.36,8967.37,13.05
FIN0000059,PRJ001,2022-09,2022-09-22,2022,Q3 2022,Equipment,29677.78,30596.09,24731.48,26559.36,4036.73,13.19
FIN0000060,PRJ001,2022-09,2022-09-22,2022,Q3 2022,Subcontractor,19785.18,20478.53,16487.65,17303.51,3175.02,15.5
FIN0000061,PRJ001,2022-09,2022-09-22,2022,Q3 2022,Design & Engineering,9892.6,9961.28,8243.83,8789.53,1171.75,11.76
FIN0000062,PRJ001,2022-09,2022-09-22,2022,Q3 2022,Permits & Legal,5935.56,6411.65,4946.3,5285.28,1126.37,17.57
FIN0000063,PRJ001,2022-09,2022-09-22,2022,Q3 2022,Transportation,7914.07,7957.62,6595.06,6971.99,985.63,12.39
FIN0000064,PRJ001,2022-09,2022-09-22,2022,Q3 2022,Overhead,5935.56,6570.4,4946.3,5817.61,752.79,11.46
FIN0000065,PRJ001,2022-10,2022-10-22,2022,Q4 2022,Labor,54821.87,51587.62,45684.89,45511.03,6076.59,11.78
FIN0000066,PRJ001,2022-10,2022-10-22,2022,Q4 2022,Materials,62653.56,73183.47,52211.3,59322.83,13860.64,18.94
FIN0000067,PRJ001,2022-10,2022-10-22,2022,Q4 2022,Equipment,29368.86,32263.62,24474.05,26839.27,5424.35,16.81
FIN0000068,PRJ001,2022-10,2022-10-22,2022,Q4 2022,Subcontractor,19579.24,20887.27,16316.03,17911.3,2975.97,14.25
FIN0000069,PRJ001,2022-10,2022-10-22,2022,Q4 2022,Design & Engineering,9789.62,9564.54,8158.02,8178.29,1386.25,14.49
FIN0000070,PRJ001,2022-10,2022-10-22,2022,Q4 2022,Permits & Legal,5873.77,6717.55,4894.81,5483.54,1234.01,18.37
FIN0000071,PRJ001,2022-10,2022-10-22,2022,Q4 2022,Transportation,7831.69,9277.22,6526.41,7598.37,1678.85,18.1
FIN0000072,PRJ001,2022-10,2022-10-22,2022,Q4 2022,Overhead,5873.77,6989.87,4894.81,5805.26,1184.61,16.95
